año;distrito;barrio;Total;mujer;hombre
1 de enero de 2019;12. Usera;126. Zofío;4.990;308;333
1 de enero de 2019;12. Usera;127. Pradolongo;5.958;378;396
1 de enero de 2019;13. Puente de Vallecas;13. Puente de Vallecas;88.465;6.629;7.213
1 de enero de 2019;13. Puente de Vallecas;131. Entrevías;12.686;761;865
1 de enero de 2019;13. Puente de Vallecas;132. San Diego;15.846;1.499;1.748
1 de enero de 2019;13. Puente de Vallecas;133. Palomeras Bajas;15.013;1.129;1.110
1 de enero de 2019;13. Puente de Vallecas;134. Palomeras Sureste;16.007;969;1.164
1 de enero de 2019;13. Puente de Vallecas;135. Portazgo;10.797;733;735
1 de enero de 2019;13. Puente de Vallecas;136. Numancia;18.116;1.538;1.591
1 de enero de 2019;14. Moratalaz;14. Moratalaz;37.547;2.427;2.254
1 de enero de 2019;14. Moratalaz;141. Pavones;3.283;169;168
1 de enero de 2019;14. Moratalaz;142. Horcajo;2.165;160;158
1 de enero de 2019;14. Moratalaz;143. Marroquina;10.835;659;567
1 de enero de 2019;14. Moratalaz;144. Media Legua;7.177;484;436
1 de enero de 2019;14. Moratalaz;145. Fontarrón;6.869;439;459
1 de enero de 2019;14. Moratalaz;146. Vinateros;7.218;516;466
1 de enero de 2019;15. Ciudad Lineal;15. Ciudad Lineal;86.658;7.405;6.538
1 de enero de 2019;15. Ciudad Lineal;151. Ventas;19.885;1.787;1.550
1 de enero de 2019;15. Ciudad Lineal;152. Pueblo Nuevo;23.919;1.754;1.687
1 de enero de 2019;15. Ciudad Lineal;153. Quintana;10.338;1.057;888
1 de enero de 2019;15. Ciudad Lineal;154. Concepción;9.059;950;770
1 de enero de 2019;15. Ciudad Lineal;155. San Pascual;7.529;613;538
1 de enero de 2019;15. Ciudad Lineal;156. San Juan Bautista;4.867;399;387
1 de enero de 2019;15. Ciudad Lineal;157. Colina;2.564;267;207
1 de enero de 2019;15. Ciudad Lineal;158. Atalaya;565;57;46
1 de enero de 2019;15. Ciudad Lineal;159. Costillares;7.932;521;465
1 de enero de 2019;16. Hortaleza;16. Hortaleza;70.099;5.023;5.355
1 de enero de 2019;16. Hortaleza;161. Palomas;2.193;95;119
1 de enero de 2019;16. Hortaleza;162. Piovera;4.879;330;334
1 de enero de 2019;16. Hortaleza;163. Canillas;16.012;1.105;998
1 de enero de 2019;16. Hortaleza;164. Pinar del Rey;21.273;1.460;1.364
